10 766.1656 609.9483 245.1730 195.1835
32 2924.4575 2646.6574 2616.0861 369.1280
50 3833.0681 3263.0166 3483.9197 494.5109
64 4887.6124 3651.1546 4649.6189 279.3848
100 6468.1495 4234.7839 6270.3297 449.0922
128 6712.3105 3993.7176 6398.7019 158.6111
200 7489.1067 4506.5402 7264.9878 115.9469
256 7305.8134 2648.4293 7134.9327 53.4777
300 7469.0929 4496.9656 7319.9787 165.4446
400 7458.5994 4482.1886 7346.8769 58.2556
512 7724.0781 1390.0225 7633.6629 14.1451
1000 4826.2311 4124.6708 4797.2910 21.5711
