10 389.6404 483.8626 124.6849 191.9967
32 2010.0588 2571.4249 1798.1068 2092.0394
50 2845.1866 3933.1935 2586.0228 3573.0081
64 3788.7750 2651.7261 3604.2874 2404.6918
100 5336.6176 5831.3915 5173.4042 5483.1966
128 5721.9065 6372.7878 5454.5709 6075.2622
200 6514.3008 7061.1605 6319.3540 6849.9121
256 6601.6428 6776.4167 6447.2325 6617.9476
300 6959.7373 7083.9842 6820.7919 6942.5772
400 7056.9115 7233.3872 6951.2059 7125.0463
512 7283.6362 6695.1268 7198.3768 6616.7598
1000 4914.8353 5576.9443 4885.3639 5543.5031
