10 706.2267 558.4635 225.9926 235.8950
32 2662.9503 2548.3546 2382.1537 2075.1809
50 2055.9532 2260.2064 1868.6795 2053.6667
64 4925.4666 4461.5475 4685.6298 4046.3240
100 6400.4132 5953.2957 6204.6650 5597.9658
128 6670.9351 6580.5763 6359.2596 6273.4255
200 7294.2154 7337.1954 7075.9289 7117.7110
256 7235.1895 6510.0394 7065.9607 6357.8090
300 7462.1396 7348.6665 7313.1641 7201.9826
400 7548.0218 7712.8557 7434.9598 7597.3362
512 7707.6664 5207.8372 7617.4434 5146.8800
1000 5274.5409 5717.0636 5242.9126 5682.7823
