10 718.6104 471.2701 229.9553 159.3026
32 2968.1350 1905.2651 2655.1580 1542.5313
50 3846.8857 2745.4960 3496.4786 2482.9421
64 4916.4611 3362.4689 4677.0628 3046.5590
100 6463.3476 4741.0606 6265.6746 4456.5913
128 6874.0813 5256.9109 6552.9145 5010.5933
200 7430.5834 6367.2226 7208.2159 6176.3228
256 7053.9705 6020.9565 6888.9804 5879.9230
300 7303.5977 6226.4050 7157.7873 6101.9451
400 7504.9019 6801.4767 7392.4858 6699.5019
512 7555.6923 6468.2075 7467.2483 6392.4377
1000 5004.0797 5496.1548 4974.0732 5463.1853
