10 0.3579 0.2935
32 0.3602 0.2905
50 0.2803 0.2338
64 0.1286 0.1181
100 0.0374 0.0306
128 0.0524 0.0464
200 0.1606 0.1204
256 0.2203 0.1870
300 0.2476 0.1968
400 0.2563 0.2139
512 0.2343 0.1347
1000 0.2548 0.2419
