10 737.4743 579.7021 235.9918 185.5047
32 2891.2116 2486.6554 2586.3458 824.1460
50 3872.7761 3057.1831 3520.0107 849.4638
64 4828.6175 3267.1785 4593.4966 559.9342
100 6445.3785 2883.2662 6248.2551 479.7919
128 6815.7212 2691.1719 6497.2811 233.7735
200 6951.6107 3920.6717 6743.5769 445.4296
256 7153.0437 1512.8368 6985.7363 66.1090
300 7466.0803 4105.1314 7317.0262 393.3454
400 7517.5418 3960.2303 7404.9363 110.9868
512 7720.9276 643.7806 7630.5493 14.1066
1000 4779.8216 3914.6660 4751.1599 90.6121
